,Geography,Year,Sex,Activity Category,Prevalence_x,Coefficient of Variation_x,CV Flag_x,Standard Error_x,Standard Score_x,Alberta Prevalence_x,Category,Prevalence_y,Coefficient of Variation_y,CV Flag_y,Standard Error_y,Standard Score_y,Alberta Prevalence_y,Stress Category,Prevalence,Coefficient of Variation,CV Flag,Standard Error,Standard Score,Alberta Prevalence
43,Z1,2005,MALE,Active or moderately active,51.7978,4.4321,1.0,2.2931000000000004,-0.8350564020000001,53.712677301999996,Poor Fair or Good,23.5459,8.651299999999999,1.0,2.0466,-0.609816851,24.793913461,Not at all/not very/a bit stressful,78.0795,2.4797,1.0,1.8186,0.5590238028,77.062888333
44,Z1,2005,MALE,Inactive,48.20220000000001,4.8115000000000006,1.0,2.2931000000000004,0.8350564023,46.287322698000004,Excellent or Very Good,76.45410000000003,2.8339999999999996,1.0,2.0466,0.6098168515000001,75.206086539,Extremely/quite a bit stressful,21.9205,8.303600000000001,1.0,1.8186,-0.559023803,22.937111667000003
45,Z1,2005,MALE,Inactive,48.20220000000001,4.8115000000000006,1.0,2.2931000000000004,0.8350564023,46.287322698000004,Excellent or Very Good,76.45410000000003,2.8339999999999996,1.0,2.0466,0.6098168515000001,75.206086539,Not at all/not very/a bit stressful,78.0795,2.4797,1.0,1.8186,0.5590238028,77.062888333
46,Z1,2005,MALE,Inactive,48.20220000000001,4.8115000000000006,1.0,2.2931000000000004,0.8350564023,46.287322698000004,Poor Fair or Good,23.5459,8.651299999999999,1.0,2.0466,-0.609816851,24.793913461,Extremely/quite a bit stressful,21.9205,8.303600000000001,1.0,1.8186,-0.559023803,22.937111667000003
47,Z1,2005,MALE,Inactive,48.20220000000001,4.8115000000000006,1.0,2.2931000000000004,0.8350564023,46.287322698000004,Poor Fair or Good,23.5459,8.651299999999999,1.0,2.0466,-0.609816851,24.793913461,Not at all/not very/a bit stressful,78.0795,2.4797,1.0,1.8186,0.5590238028,77.062888333
48,Z1,2007,BOTH,Active or moderately active,52.3907,4.4321,1.0,2.218,-1.2356054660000002,55.131279071,Excellent or Very Good,72.0383,3.6552,1.0,2.0363,-2.007848222,76.126911383,Extremely/quite a bit stressful,20.8607,8.8559,1.0,1.8619999999999999,-0.8632006740000001,22.468017665
49,Z1,2007,BOTH,Active or moderately active,52.3907,4.4321,1.0,2.218,-1.2356054660000002,55.131279071,Excellent or Very Good,72.0383,3.6552,1.0,2.0363,-2.007848222,76.126911383,Not at all/not very/a bit stressful,79.1393,3.6367,1.0,1.8619999999999999,0.8632006737000001,77.531982335
50,Z1,2007,BOTH,Active or moderately active,52.3907,4.4321,1.0,2.218,-1.2356054660000002,55.131279071,Poor Fair or Good,27.9617,7.4508,1.0,2.0363,2.0078482222,23.873088616999997,Extremely/quite a bit stressful,20.8607,8.8559,1.0,1.8619999999999999,-0.8632006740000001,22.468017665
51,Z1,2007,BOTH,Active or moderately active,52.3907,4.4321,1.0,2.218,-1.2356054660000002,55.131279071,Poor Fair or Good,27.9617,7.4508,1.0,2.0363,2.0078482222,23.873088616999997,Not at all/not very/a bit stressful,79.1393,3.6367,1.0,1.8619999999999999,0.8632006737000001,77.531982335
52,Z1,2007,BOTH,Inactive,47.60930000000001,5.434900000000002,1.0,2.218,1.2356054660000002,44.868720929000006,Excellent or Very Good,72.0383,3.6552,1.0,2.0363,-2.007848222,76.126911383,Extremely/quite a bit stressful,20.8607,8.8559,1.0,1.8619999999999999,-0.8632006740000001,22.468017665
53,Z1,2007,BOTH,Inactive,47.60930000000001,5.434900000000002,1.0,2.218,1.2356054660000002,44.868720929000006,Excellent or Very Good,72.0383,3.6552,1.0,2.0363,-2.007848222,76.126911383,Not at all/not very/a bit stressful,79.1393,3.6367,1.0,1.8619999999999999,0.8632006737000001,77.531982335
54,Z1,2007,BOTH,Inactive,47.60930000000001,5.434900000000002,1.0,2.218,1.2356054660000002,44.868720929000006,Poor Fair or Good,27.9617,7.4508,1.0,2.0363,2.0078482222,23.873088616999997,Extremely/quite a bit stressful,20.8607,8.8559,1.0,1.8619999999999999,-0.8632006740000001,22.468017665
55,Z1,2007,BOTH,Inactive,47.60930000000001,5.434900000000002,1.0,2.218,1.2356054660000002,44.868720929000006,Poor Fair or Good,27.9617,7.4508,1.0,2.0363,2.0078482222,23.873088616999997,Not at all/not very/a bit stressful,79.1393,3.6367,1.0,1.8619999999999999,0.8632006737000001,77.531982335
56,Z1,2007,FEMALE,Active or moderately active,51.1818,5.842500000000001,1.0,2.7755,-1.453424953,55.21575586500001,Excellent or Very Good,69.97120000000001,4.0805,1.0,2.5723,-2.290708475,75.863556225,Extremely/quite a bit stressful,21.9218,12.380999999999998,1.0,2.7095,-0.535254711,23.372070627
57,Z1,2007,FEMALE,Active or moderately active,51.1818,5.842500000000001,1.0,2.7755,-1.453424953,55.21575586500001,Excellent or Very Good,69.97120000000001,4.0805,1.0,2.5723,-2.290708475,75.863556225,Not at all/not very/a bit stressful,78.0782,4.4113000000000016,1.0,2.7095,0.5352547108,76.62792937300001
