REF_DATE,GEO,Age group,Sex,UOM,"Body mass index, adjusted self-reported, adult (18 years and over), obese","Body mass index, adjusted self-reported, adult (18 years and over), overweight","Body mass index, self-reported, youth (12 to 17 years old), overweight or obese","Current smoker, daily or occasional","Fruit and vegetable consumption, 5 times or more per day","Life satisfaction, satisfied or very satisfied",Mood disorder,"Perceived health, very good or excellent","Perceived life stress, most days quite a bit or extremely stressful","Perceived mental health, very good or excellent","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Sense of belonging to local community, somewhat strong or very strong"
2015/2016,"Small population centres, Yukon","Total, 12 years and over",Both sexes,Number,3340.2,3119.8,120.0,2580.0,3320.0,10820.0,1260.0,7200.0,2460.0,7960.0,7180.2,400.0,9480.2
2015/2016,"Small population centres, Yukon","Total, 12 years and over",Males,Number,1700.0,1699.8,0.0,1480.0,1340.0,5340.0,600.0,3400.0,1040.0,3659.8,3720.2,220.0,4780.2
2015/2016,"St. Catharines-Niagara, Ontario","Total, 12 years and over",Both sexes,Number,56120.0,65460.0,3000.0,44920.0,54560.0,198440.0,25320.2,136460.0,47340.0,160120.4,114580.0,8580.0,149460.0
2015/2016,"St. John's, Newfoundland and Labrador","Total, 12 years and over",Both sexes,Number,34660.0,33480.0,1360.0,19759.8,28920.0,100860.0,13860.2,75160.4,17039.8,82000.0,60260.2,3120.0,79840.0
2015/2016,"Toronto, Ontario","Total, 12 years and over",Both sexes,Number,578679.6,949100.0,41080.0,446399.6,779979.8,2793600.0,201179.6,1929980.0,722800.2,2185480.0,1568999.6,124140.0,2072199.8
2015/2016,"Toronto, Ontario","Total, 12 years and over",Females,Number,270299.6,417280.0,17320.0,163799.6,487119.8,1444780.0,120019.6,969100.0,401180.0,1093160.0,770220.0,50000.0,1090460.0
2015/2016,"Toronto, Ontario","Total, 12 years and over",Males,Number,308559.6,530920.0,23980.0,283300.0,292419.8,1346980.0,81180.0,960900.0,322080.0,1091160.0,799159.6,74380.0,980640.0
2015/2016,"Total, census metropolitan areas","Total, 12 years and over",Both sexes,Number,3365674.75,5068350.0,229424.75,2629149.75,4720275.0,14651475.0,1292424.75,10202075.25,3596000.25,11408200.25,8671775.25,608375.0,10457099.75
2015/2016,"Total, census metropolitan areas","Total, 12 years and over",Females,Number,1559399.75,2146024.75,94800.0,1105849.75,2913475.0,7463475.0,835649.75,5095450.25,1971600.25,5631275.0,4161500.25,256700.0,5402799.75
2015/2016,"Total, census metropolitan areas","Total, 12 years and over",Males,Number,1808824.75,2918050.25,134724.75,1525274.75,1808075.25,7189975.0,456299.75,5103875.25,1625750.25,5778100.25,4506150.0,351825.0,5055449.75
